1,0,4,413,346,54,62,1,-1,-1,-1
1,1,8,760,235,30,54,1,-1,-1,-1
1,2,5,495,258,33,49,1,-1,-1,-1
1,3,4,585,241,23,30,1,-1,-1,-1
1,4,1,229,316,14,50,1,-1,-1,-1
2,0,4,412,346,54,62,1,-1,-1,-1
2,1,8,760,235,30,54,1,-1,-1,-1
2,2,5,495,258,32,48,1,-1,-1,-1
2,4,1,229,316,14,50,1,-1,-1,-1
2,5,4,585,241,23,31,1,-1,-1,-1
3,0,4,411,347,54,62,1,-1,-1,-1
3,1,8,760,235,30,53,1,-1,-1,-1
3,2,5,494,258,32,48,1,-1,-1,-1
3,4,1,229,316,13,50,1,-1,-1,-1
4,0,4,410,349,54,63,1,-1,-1,-1
4,1,8,760,236,30,53,1,-1,-1,-1
4,2,5,492,259,32,48,1,-1,-1,-1
4,4,1,229,316,13,49,1,-1,-1,-1
5,0,4,407,350,54,65,1,-1,-1,-1
5,1,8,760,236,30,52,1,-1,-1,-1
5,2,5,491,260,31,47,1,-1,-1,-1
5,4,1,229,316,13,49,1,-1,-1,-1
6,0,4,404,352,55,65,1,-1,-1,-1
6,1,8,760,236,29,52,1,-1,-1,-1
6,2,5,489,260,32,47,1,-1,-1,-1
6,4,1,229,316,13,48,1,-1,-1,-1
7,0,4,401,352,56,66,1,-1,-1,-1
7,1,8,760,236,29,52,1,-1,-1,-1
7,2,5,487,262,32,46,1,-1,-1,-1
7,4,1,230,316,14,48,1,-1,-1,-1
8,0,4,399,354,57,66,1,-1,-1,-1
8,1,8,760,235,29,52,1,-1,-1,-1
8,2,5,486,262,32,46,1,-1,-1,-1
8,4,1,230,316,14,48,1,-1,-1,-1
9,0,4,397,355,58,66,1,-1,-1,-1
9,1,8,761,235,28,52,1,-1,-1,-1
9,2,5,485,262,33,46,1,-1,-1,-1
9,4,1,231,316,14,48,1,-1,-1,-1
10,0,4,396,355,58,66,1,-1,-1,-1
10,1,8,761,234,28,51,1,-1,-1,-1
10,2,5,484,262,33,46,1,-1,-1,-1
10,4,1,231,315,14,49,1,-1,-1,-1
11,0,4,393,357,58,66,1,-1,-1,-1
11,1,8,761,233,28,51,1,-1,-1,-1
11,2,5,483,262,34,46,1,-1,-1,-1
11,4,1,232,315,15,50,1,-1,-1,-1
12,0,4,390,357,58,67,1,-1,-1,-1
12,1,8,761,232,28,51,1,-1,-1,-1
12,2,5,482,262,34,46,1,-1,-1,-1
12,4,1,232,315,15,50,1,-1,-1,-1
13,0,4,388,359,58,67,1,-1,-1,-1
13,1,8,761,232,28,50,1,-1,-1,-1
13,2,5,481,263,34,46,1,-1,-1,-1
13,4,1,233,314,15,51,1,-1,-1,-1
14,0,4,385,361,59,67,1,-1,-1,-1
14,1,8,762,232,27,50,1,-1,-1,-1
14,2,5,479,263,34,47,1,-1,-1,-1
14,4,1,233,314,15,51,1,-1,-1,-1
14,15,4,580,244,24,34,1,-1,-1,-1
15,0,4,382,363,59,66,1,-1,-1,-1
15,1,8,762,231,27,50,1,-1,-1,-1
15,2,5,478,264,33,46,1,-1,-1,-1
15,4,1,233,314,15,51,1,-1,-1,-1
15,15,4,580,245,24,34,1,-1,-1,-1
16,0,4,379,364,59,67,1,-1,-1,-1
16,1,8,762,231,27,50,1,-1,-1,-1
16,2,5,477,264,33,46,1,-1,-1,-1
16,4,1,233,314,15,51,1,-1,-1,-1
16,15,4,579,245,23,34,1,-1,-1,-1
17,0,4,375,367,60,67,1,-1,-1,-1
17,1,8,762,231,27,50,1,-1,-1,-1
17,2,5,475,264,34,47,1,-1,-1,-1
17,4,1,234,314,15,51,1,-1,-1,-1
17,15,4,578,246,23,34,1,-1,-1,-1
18,0,4,371,369,61,68,1,-1,-1,-1
18,1,8,763,230,27,50,1,-1,-1,-1
18,2,5,474,264,34,47,1,-1,-1,-1
18,4,1,234,314,15,51,1,-1,-1,-1
18,15,4,577,246,23,34,1,-1,-1,-1
19,0,4,368,370,61,69,1,-1,-1,-1
19,1,8,763,230,27,50,1,-1,-1,-1
19,2,5,473,265,35,47,1,-1,-1,-1
19,4,1,234,313,15,52,1,-1,-1,-1
19,15,4,577,246,22,34,1,-1,-1,-1
20,0,4,365,373,62,69,1,-1,-1,-1
20,1,8,763,228,27,51,1,-1,-1,-1
20,2,5,471,266,35,47,1,-1,-1,-1
20,4,1,235,312,14,53,1,-1,-1,-1
20,15,4,576,246,22,34,1,-1,-1,-1
